question_id,correct_answer,confused_answer,correct_rate
8098,b,d,0.7978590254293382
5743,d,b,0.7392011383270658
5267,c,a,0.5044607714510627
5659,b,c,0.26340668296658515
3625,a,c,0.7631926121372031
218,b,a,0.6301657458563535
5247,b,a,0.5128081972462376
4829,c,a,0.5038437084561586
6488,a,d,0.5683401393226039
8074,c,d,0.3933950875660461
176,d,b,0.3517196184258521
1279,c,a,0.6309236672605181
2067,b,a,0.16134641847242595
2068,a,b,0.6267157230815438
2069,d,a,0.6211117663959836
3411,c,a,0.27938166845975265
3412,a,c,0.5408159987149627
3413,d,b,0.30086147623862486
2991,c,d,0.2126832415180504
2992,a,b,0.23547148199306
2993,b,c,0.22034358660962858
2628,c,a,0.567886926287721
2629,d,b,0.42736971331742574
2630,b,a,0.4758705427167207
4555,d,a,0.4530034589714026
4178,b,c,0.26469747785414566
4761,b,a,0.5510419800466716
6185,c,b,0.26075605533897234
6243,d,a,0.2839201483709859
6442,d,b,0.3086986346116156
6949,d,c,0.4690121786197564
6950,a,b,0.6507029814390108
6951,d,c,0.42610132315449145
6952,b,d,0.2695577867976928
7335,c,d,0.4150718871828572
7336,d,a,0.4960181824588604
7337,d,b,0.602547501387384
7338,d,b,0.27099128211501927
4125,c,a,0.32279592553565156
4882,c,b,0.687170474516696
309,c,a,0.6067773481919491
3,b,c,0.5539651677491416
5421,b,a,0.3763121063680896
5719,d,b,0.7382395382395383
6981,b,a,0.41743448082941415
6982,b,c,0.6175622038432621
6983,c,b,0.8383661764963019
6984,c,b,0.45619800041949243
1223,c,b,0.7212729602733874
1326,c,b,0.7396739990504827
1077,b,c,0.7519630484988452
295,c,b,0.8701393798606202
481,b,a,0.7942401738815432
214,c,b,0.5034198663143168
909,a,b,0.7250303275374039
11262,a,b,0.8564619906267377
381,a,b,0.929911358482787
997,b,c,0.6995924062718026
9612,a,b,0.7853092326776537
9610,b,a,0.71002331002331
4282,c,b,0.7209536909674461
8541,b,c,0.8489425981873112
3935,a,b,0.1910622958900733
6186,d,b,0.49359391965255156
5015,c,d,0.7478176527643065
6314,d,a,0.375
4533,c,a,0.7189713883126542
3678,d,c,0.9034931912374186
4516,c,a,0.6751265257517118
9524,b,d,0.5523809523809524
