question_id,eq_id,part_number,question_count,time_limit_in_ms,audio_duration_in_ms
1,p1-121,1,1,26076.73469387755,18076.73469387755
2,p1-122,1,1,26599.183673469386,18599.183673469386
3,p1-123,1,1,28192.65306122449,20192.65306122449
4,p1-124,1,1,27069.387755102038,19069.387755102038
5,p1-125,1,1,27513.4693877551,19513.4693877551
6,p1-126,1,1,28166.530612244896,20166.530612244896
7,p1-127,1,1,29681.632653061224,21681.632653061224
8,p1-128,1,1,28166.530612244896,20166.530612244896
9,p1-129,1,1,30099.591836734693,22099.591836734693
10,p1-130,1,1,29002.448979591838,21002.448979591838
11,p1-051,1,1,28453.877551020407,20453.877551020407
12,p1-052,1,1,26782.040816326527,18782.040816326527
13,p1-053,1,1,27800.81632653061,19800.81632653061
14,p1-054,1,1,27278.367346938776,19278.367346938776
15,p1-055,1,1,27931.428571428572,19931.428571428572
16,p1-056,1,1,27983.673469387755,19983.673469387755
17,p1-057,1,1,29577.142857142855,21577.142857142855
18,p1-058,1,1,28401.632653061224,20401.632653061224
19,p1-059,1,1,27879.18367346939,19879.18367346939
20,p1-060,1,1,28140.408163265307,20140.408163265307
21,p1-061,1,1,27591.83673469388,19591.83673469388
22,p1-062,1,1,26912.65306122449,18912.65306122449
23,p1-063,1,1,28192.65306122449,20192.65306122449
24,p1-064,1,1,28035.918367346938,20035.918367346938
25,p1-065,1,1,27696.326530612245,19696.326530612245
26,p1-066,1,1,29185.306122448983,21185.306122448983
27,p1-067,1,1,28715.102040816328,20715.102040816328
28,p1-068,1,1,28427.755102040817,20427.755102040817
29,p1-069,1,1,30021.22448979592,22021.22448979592
30,p1-070,1,1,27670.204081632655,19670.204081632655
31,p1-001,1,1,27356.734693877548,19356.734693877548
32,p1-002,1,1,26416.326530612245,18416.326530612245
33,p1-003,1,1,28741.224489795917,20741.224489795917
34,p1-004,1,1,27983.673469387755,19983.673469387755
35,p1-005,1,1,29420.408163265307,21420.408163265307
36,p1-006,1,1,26938.775510204083,18938.775510204083
37,p1-007,1,1,26991.020408163266,18991.020408163266
38,p1-008,1,1,27905.30612244898,19905.30612244898
39,p1-009,1,1,28558.367346938776,20558.367346938776
40,p1-010,1,1,30622.04081632653,22622.04081632653
41,p1-131,1,1,26285.714285714286,18285.714285714286
42,p1-132,1,1,26573.061224489797,18573.061224489797
43,p1-133,1,1,28976.326530612245,20976.326530612245
44,p1-134,1,1,26181.224489795917,18181.224489795917
45,p1-135,1,1,27200.0,19200.0
46,p1-136,1,1,27513.4693877551,19513.4693877551
47,p1-137,1,1,28140.408163265307,20140.408163265307
48,p1-138,1,1,29760.0,21760.0
49,p1-139,1,1,29394.285714285714,21394.285714285714
50,p1-140,1,1,27226.122448979593,19226.122448979593
51,p1-081,1,1,27252.244897959183,19252.244897959183
52,p1-082,1,1,26416.326530612245,18416.326530612245
53,p1-083,1,1,26991.020408163266,18991.020408163266
54,p1-084,1,1,26964.897959183672,18964.897959183672
55,p1-085,1,1,28166.530612244896,20166.530612244896
56,p1-086,1,1,26860.408163265303,18860.408163265303
57,p1-087,1,1,26808.16326530612,18808.16326530612
58,p1-088,1,1,27408.979591836734,19408.979591836734
59,p1-089,1,1,28924.08163265306,20924.08163265306
60,p1-090,1,1,27931.428571428572,19931.428571428572
61,p1-161,1,1,29812.244897959183,21812.244897959183
62,p1-162,1,1,27905.30612244898,19905.30612244898
63,p1-163,1,1,27983.673469387755,19983.673469387755
64,p1-164,1,1,31797.551020408166,23797.551020408166
65,p1-165,1,1,29420.408163265307,21420.408163265307
66,p1-166,1,1,30334.69387755102,22334.69387755102
67,p1-167,1,1,31353.4693877551,23353.4693877551
68,p1-168,1,1,29498.775510204083,21498.775510204083
69,p1-169,1,1,27931.428571428572,19931.428571428572
70,p1-170,1,1,30177.95918367347,22177.95918367347
71,p1-111,1,1,27095.51020408163,19095.51020408163
72,p1-112,1,1,27200.0,19200.0
73,p1-113,1,1,27905.30612244898,19905.30612244898
74,p1-114,1,1,27617.95918367347,19617.95918367347
75,p1-115,1,1,28427.755102040817,20427.755102040817
76,p1-116,1,1,27800.81632653061,19800.81632653061
77,p1-117,1,1,29498.775510204083,21498.775510204083
